news_text,label
"Congratulations! You've won a $1,000 Walmart gift card. Go to http://bit.ly/123456.tap claim now.",fake
Your IRS tax refund is pending acceptance. Must accept within 24 hours: http://bit.ly/sdfsdf.,fake
Amazon is sending you a refunding of $32.64. Please reply with your bank account and routing number to receive your refund.,fake
Wells Fargo Bank: Your account is temporarily locked. Please log in at http://goo.gl/2a234 to secure your account.,fake
"Hello, your FEDEX package with tracking code DZ-8342-FY34 is waiting for you to set delivery preference: c4lrs.info/Gm08s43vz1",fake
Apple Notification. Your Apple iCloud ID expires today. Log in to prevent deletion http://apple.id/ user-auth/online,fake
"((Coinbase)) Amount received 2.221 Bitcoin BTC ($18,421 USD)Please confirm transaction: http://bit.do/ Coinbase432194-53242",fake
"URGENT Your grandson was arrested last night in Mexico. Need bail money immediately Western Union Wire $9,500 http://goo.gl/ndf4g5",fake
Federal Credit Union ALERT: Your Credit Card has been temporarily LOCKED. Please call Card Services line (786) 319-4482,fake
"Thank you for your recent Amazon purchase. You've been charged $108.34. If there has been a mistake, please call (407) 438-4356.",fake
Winner! You have won Rs.8850 welcome bonus on Junglee Rummy. Download the app now to claim: http://1kx.in/Xa6Gfbbg8kx,fake
Winner! You have won Rs. 8850 welcome bonus on Junglee Rummy. Download the app to claim:   http://1kx.in/X6HL86q5qKI,fake
Alert 100%-: of daily highspeed data is consumed. Get 6GB data topup at just Rs108  valid till your current pack i.airtel.in/Get-Data,real
Alert 50%-: of daily highspeed data is consumed. Get 6GB data topup at just Rs108  valid till your current pack i.airtel.in/Get-Data,real
"Pack Valid till 10 Jan 2023. CallCost:Rs0.00 Duration:00:19:22 Bal:Rs2.00.RC108=6GB till existing pack validity,PVME,30 days",real
Use 203 570 to verify your Instagram account. #ig,real
Your LinkedIn verification code is 268895.,real
OTP for Aadhaar (XX5454) is 743753 (valid for 10 mins). Secure your Aadhaar from Authentication by using Aadhaaar Lock/Unlock service.visit uidai.gov.in,real
Rs.406.80 Debited to SB-xxx3656 AcBal:33.22 CLRBal: 33.22 [UPI/221522 ] NAGERCOIL on 03-08-2022 17:01:32.XYZ.,real
Rs.130.00 Credited to SB-xxx3333 AcBal:315.02 CLRBal: 315.02 [UPI/221222 ] NAGERCOIL on 31-07-2022 19:24:47.ACF.,real
"Your a/c XXXXXXXXXX3666 debited for payee IRCTC Web UPI for Rs. 406.80 on 2022-08-03, ref 221540755555.If not you, report to your bank immediately-XYZ",real
"Your a/c XXXXXXXXXX3666 debited for payee Bharti Airtel Limite for Rs. 301.00 on 2022-07-31, ref 221294444104.If not you, report to your bank immediately-IOB.",real
Your a/c no. XXXXXXXXXX3666 is debited by Rs.180.00 (UPI Ref no 220662744440) - SBI Bank,real
You missed 1  call(s) from +919884444476 .Last call: 01-08-2022 16:21 .Now you can check missed call logs on Airtel Thanks app https://i.airtel.in/calls,real
9697 is your Disney+ Hotstar verification code. Enjoy watching!,real
"Dear Customer, You have a missed call from +919025444461 The last missed call was at 04:16 PM on 14-Oct-2021 Thankyou, Team Jio.",real
"Dear, Rs.4.04 Crore Guaranteed Prizes for KOL vs HYD Fantasy T20 Winners on My11Circle! Join before 7pm & get 1500 on 1st dep! Link: bit.ly/3vau1BS ",fake
Beautiful weekend coming up. Wanna go out? Sophie gave me your number. Check out my profile here: bit.ly/profileGB12RD,fake
"Dear customer, Bank of America is closing your bank account. Please confirm your PIN at notbankofamerica.com/ XJY23VB to keep your account activated.",fake
You've won a prize! Go to bit.ly/ yourprize001 to claim your $500 Amazon gift card,fake
Hello. We detected fraudulent activity on your Apple iCloud account. To reset password:www.123applesupport/1234ds.com,fake
New Craigslist Buyer Message: Read using this link: http://craigslist alaskaUSA/1212.com,fake
"You received 3 bitcoins ($14,242 USD) in your account. Register to accept the transfer: https://bitcoinmine/232qq .com",fake
Con-gRatulations! Claim your FREE $100 gift Card: https:ggiftcard4u/2wp.co m,fake
"We are upgrading our database storage facility (NT06117) to a new and better server. To see if you qualify for a FREE upgrade, please provide your user name and password.",fake
AT&T: Your postpaid account has been charged USD500 for LTE use. Is this a wrong charge? Text 500 send to 2936XXXXXXX for REFUND,fake
User #25388: Your Gmail profile has been compromised. We have deactivated it for your protection. Text back SENDNOW in order to reactivate your account.,fake
"Dear customer, Bank of America is closing your bank account. Please confirm your PIN at notbankofamerica.com/SPAM to keep your account activated.",fake
"Hello Angela, your FEDEX package with tracking code AB-9456-JK65 is waiting for you to set delivery preferences: ispam.info/lmnopq",fake
You've won a prize! Go to tarrget.ly/scamprize to claim your $500 Target gift card,fake
"Netflix: Please update your membership with us to continue watching, bedy13.com/V3n40vhcaw",fake
"Congratulations! You've won a $1,456 reynold gift card. Go to http://bit.ly/124256.tap claim now.",fake
"Congratulations! You've won a $2,345 oppkiot gift card. Go to http://bit.ly/453216.tap claim now.",fake
"Congratulations! You've won a $1,171 Walmart gift card. Go to http://bit.ly/13456.tap claim now.",fake
Your DFG tax refund is pending acceptance. Must accept within 24 hours: http://bit.ly/xrrtyu.,fake
Your VYU tax refund is pending acceptance. Must accept within 24 hours: http://bit.ly/yuiohj.,fake
Flipkart is sending you a refunding of $56.78. Please reply with your bank account and routing number to receive your refund.,fake
Ebay is sending you a refunding of $45.90. Please reply with your bank account and routing number to receive your refund.,fake
Myntra is sending you a refunding of $34.56. Please reply with your bank account and routing number to receive your refund.,fake
Indian Overseas Bank: Your account is temporarily locked. Please log in at http://goo.gl/2v567 to secure your account.,fake
State Bank of India: Your account is temporarily locked. Please log in at http://goo.gl/2s234 to secure your account.,fake
Bank of Baroda: Your account is temporarily locked. Please log in at http://goo.gl/5t678 to secure your account.,fake
"Hello, your FEDEX package with tracking code AW-4567-FC45 is waiting for you to set delivery preference: c4lrs.info/Gm08s56vz2",fake
"Hello, your FEDEX package with tracking code CV-8907-AB56 is waiting for you to set delivery preference: http://bit.ly/124256",fake
"Hello, your FEDEX package with tracking code VN-9456-xz45 is waiting for you to set delivery preference: http://bit.ly/sdfsdf.",fake
Apple Notification. Your Apple iCloud ID expires today. Log in to prevent deletion http://1kx.in/X6HL86q5qKI,fake
Apple Notification. Your Apple iCloud ID expires today. Log in to prevent deletion http://1kx.in/X6GH7890L,fake
Apple Notification. Your Apple iCloud ID expires today. Log in to prevent deletion  http://bit.ly/sbnsfff.,fake
"((Coinbase)) Amount received 3.456 Bitcoin BTC ($21,890 USD)Please confirm transaction: http://bit.do/ Coinbase432194-53242",fake
"((Coinbase)) Amount received 4.907 Bitcoin BTC ($34,987 USD)Please confirm transaction: http://bit.do/ Coinbase53242-58745",fake
"((Cuurenbase)) Amount received 3.098 Bitcoin BTC ($45,678 USD)Please confirm transaction: http://bit.do/ Cuurenbase74520-69874",fake
"URGENT Your father was arrested last night in Delhi. Need bail money immediately Western Union Wire $9,500 http://goo.gl/ndf4g5",fake
"URGENT Your wife was arrested yesterday in Jaipur. Need bail money immediately Western Union Wire $9,479 http://goo.gl/hjhk4l9",fake
"URGENT Your girlfriend was arrested last night in Italy. Need bail money immediately Western Union Wire $7,555 http://bit.ly/124256",fake
Indian Overseas Bank ALERT: Your Credit Card has been temporarily LOCKED. Please call Card Services line (567) 319-2345,fake
State Bank of India ALERT: Your Credit Card has been temporarily LOCKED. Please call Card Services line (786) 666-4882,fake
Bank of Baroda ALERT: Your Credit Card has been temporarily LOCKED. Please call Card Services line (908) 890-6789,fake
"Thank you for your recent Flipkart purchase. You've been charged $852.36. If there has been a mistake, please call (407) 887-4356.",fake
"Thank you for your recent Ebay purchase. You've been charged $987.36. If there has been a mistake, please call (407) 438-5475.",fake
"Thank you for your recentMyntra purchase. You've been charged $785.258. If there has been a mistake, please call (567) 319-2345.",fake
Alert 35%-: of daily highspeed data is consumed. Get 2GB data topup at just Rs108  valid till your current pack i.airtel.in/Get-Data,real
Alert 75%-: of daily highspeed data is consumed. Get 1GB data topup at just Rs229 valid till your current pack i.airtel.in/Get-Data,real
Alert 60%-: of daily highspeed data is consumed. Get 1.5GB data topup at just Rs120  valid till your current pack i.airtel.in/Get-Data,real
"Pack Valid till 12 Jan 2023. CallCost:Rs0.00 Duration:00:32:22 Bal:Rs2.00.RC108=5GB till existing pack validity,PVME,30 days",real
"Pack Valid till 24 Feb 2024. CallCost:Rs0.00 Duration:02:21:22 Bal:Rs3.00.RC328=6GB till existing pack validity,PVME,30 days",real
"Pack Valid till 13 Mar 2025. CallCost:Rs0.00 Duration:00:19:34 Bal:Rs24.00.RC408=3GB till existing pack validity,PVME,30 days",real
